Id,Name,"Parent Id","Group Name","Owner Id","Tax code","Account Id",account_number,"Payment term Label","Internal rating Id"
7308,"1st Coast Printing",,,1,,7308,37821,,
7309,"1st Impressions Screen",,,1,,7309,194554,,
7310,"2020 Brand Solutions",,,1,,7310,170720,,
7311,"2 Oceans Promotions",,,1,,7311,347908,,
7312,"3 Point Brand Management",,,1,,7312,344477,,
7313,"413 Strengthgear ",,,1,,7313,196961,,
7314,"4 All Promos / K-Read",,,1,,7314,196920,,
7315,"4 DESIGN",,,1,,7315,100033,,
7316,4Imprint.com,,,1,,7316,282150,,
7317,"5 Star Promo",,,1,,7317,194729,,
7318,"A2Z Promo Zone",,,1,,7318,37322,,
7319,"Abante Marketing",,,1,,7319,101847,,
7320,"Abbott Communications Group",,,1,,7320,524702,,
7321,"Absolutely Postively Promos",,,1,,7321,102545,,
7322,"Accolades, Inc.",,,1,,7322,102910,,
7323,"Achievement Gallery",,,1,,7323,18844,,
7324,"Action Bag Company",,,1,,7324,104636,,
7325,"Ad Cafe",,,1,,7325,114433,,
7326,"Adcentives West ",,,1,,7326,105710,,
7327,"Adcentives West",,,1,,7327,105710,,
7328,"Added Incentives",,,1,,7328,106725,,
7329,"Added Incentives Inc.",,,1,,7329,32876,,
7330,"Adform Advertising",,,1,,7330,104977,,
7331,"AD Mechanics LLC.",,,1,,7331,37415,,
7332,"Ad Options, Inc.",,,1,,7332,105213,,
7333,"AD-SPECIALTIES & MORE, LTD.",,,1,,7333,113357,,
7334,"Adstar, Inc. ",,,1,,7334,108390,,
7335,"Ad-Star Sales, Inc.",,,1,,7335,108397,,
7336,"AdStuff Promotional Products",,,1,,7336,34129,,
7337,"Ad Ventures Promotional Products",,,1,,7337,105312,,
7338,"ADVERTISING ANYTHING ",,,1,,7338,109959,,
7339,"Advertising Experts",,,1,,7339,24156,,
7340,"Advertising Ideas  ",,,1,,7340,111325,,
7341,"Advertising Plus",,,1,,7341,111774,,
7342,"Advertising Premium & Incentive API",,,1,,7342,147450,,
7343,"Advertising Promotional Spec.",,,1,,7343,112150,,
7344,"Advertising Specialty Services",,,1,,7344,114343,,
7345,"Advg. Specs. Of Maine, The",,,1,,7345,112775,,
7346,"Adwood Company",,,1,,7346,114863,,
7347,"AIA CORPORATION DBA/MY CORPORATE EXPRESSIONS ",,,1,,7347,109480,,
7348,"Albrecht & Co. ",,,1,,7348,116308,,
7349,"Albrecht & Co.",,,1,,7349,116308,,
7350,"Alison Group, The",,,1,,7350,116995,,
7351,"Allegra Marketing",,,1,,7351,372045,,
7352,"Allegra Marketing, Print & Web",,,1,,7352,372010,,
7353,"Allen & Goel Marketing Co.",,,1,,7353,29573,,
7354,"Alliance Graphics",,,1,,7354,117905,,
7355,"Alliance Packaging Group Inc.",,,1,,7355,33772,,
7356,"All Purpose Advertising ",,,1,,7356,117104,,
7357,"ALL SEASONS PROMOTIONS ",,,1,,7357,117108,,
7358,"All Seasons Sport About",,,1,,7358,30650,,
7359,"Allsorts Promotional Products ",,,1,,7359,25961,,
7360,"All Types Advertising",,,1,,7360,118980,,
7361,"All-Ways Advertising Company",,,1,,7361,117230,,
7362,"AL-Lynn Sales",,,1,,7362,35330,,
7363,"Alpek International",,,1,,7363,28399,,
7364,"Amazing U Promotions",,,1,,7364,35661,,
7365,"Ambassador Awards &",,,1,,7365,119404,,
7366,"American Ad Specialties",,,1,,7366,119632,,
7367,"AMERICAN MARKETING PROMOTIONS",,,1,,7367,36799,,
7368,"American Solutions for Bus",,,1,,7368,120075,,
7369,Amplifii,,,1,,7369,338337,,
7370,"Amsterdam Printing",,,1,,7370,121500,,
7371,"Andrew's Business Services ",,,1,,7371,122091,,
7372,"Andrie, George & Associates",,,1,,7372,122110,,
7373,"Angela Conrad, Inc.",,,1,,7373,122160,,
7374,"Anita’s Marketing Concepts, Inc.",,,1,,7374,122215,,
7375,"Anypromo Corp",,,1,,7375,117065,,
7376,"Anything Imprints",,,1,,7376,122651,,
7377,"AP Branded Solutions",,,1,,7377,125341,,
7378,"Apex Advertising",,,1,,7378,122736,,
7379,"Apex Advertising Inc.",,,1,,7379,122737,,
7380,"A Plus Marketing",,,1,,7380,25664,,
7381,"ARC PROMOTIONAL DESIGN ",,,1,,7381,21968,,
7382,"Artco Promotional Products",,,1,,7382,124970,,
7383,"ArtCo Promotional Products",,,1,,7383,124970,,
7384,"Artcraft Ad Specialties Co.",,,1,,7384,124976,,
7385,"Art F/X Screenprinting & Embroidery",,,1,,7385,124987,,
7386,"Artina Promotional Products",,,1,,7386,125290,,
7387,"Artistic Imprints College Lane",,,1,,7387,125346,,
7388,"Artist Touch",,,1,,7388,125303,,
7389,Ascentives,,,1,,7389,233950,,
7390,"Association Services, Inc.",,,1,,7390,33395,,
7391,"Ataly Graphics",,,1,,7391,126446,,
7392,"A Turtle Loves Me ",,,1,,7392,29446,,
7393,"AUS-TEX PRINTING & MAILING ",,,1,,7393,18448,,
7394,"AUSTIN SPECIALTY ADVERTISING",,,1,,7394,127592,,
7395,"AUTHENTIC PROMOTIONS.COM",,,1,,7395,127621,,
7396,"Awards By Walsh's",,,1,,7396,18254,,
7397,"Awesome Advertising",,,1,,7397,31145,,
7398,"Axis Promotions & Events",,,1,,7398,128263,,
7399,"Bagley Idea Pros",,,1,,7399,129900,,
7400,"Balady Promotions, INC.",,,1,,7400,130801,,
7401,"Bamko Inc. ",,,1,,7401,131431,,
7402,"Banana Promotions",,,1,,7402,352522,,
7403,"BARKER SPECIALTY ADVERTISING",,,1,,7403,132690,,
7404,"BAT CITY, Inc.",,,1,,7404,133778,,
7405,"Baudville Inc",,,1,,7405,133950,,
7406,"BC Graphics",,,1,,7406,128880,,
7407,"Beehive Specialty",,,1,,7407,135780,,
7408,"Bella Signs & Designs Inc.",,,1,,7408,136238,,
7409,"Ben S. Loeb Inc",,,1,,7409,255220,,
7410,"Bergman Incentives",,,1,,7410,137884,,
7411,"Bergman Incentives",,,1,,7411,137955,,
7412,"Bernard's Custom Logo",,,1,,7412,24815,,
7413,"Best Impressions",,,1,,7413,138500,,
7414,"Big Dog Promo ",,,1,,7414,590143,,
7415,"BIGGERFISH ",,,1,,7415,140070,,
7416,"Big Promo Marketing ",,,1,,7416,37404,,
7417,"BIG STAR BRANDING ",,,1,,7417,191009,,
7418,"Bill Powell Advertising, Inc.",,,1,,7418,297532,,
7419,"BKG Media and Promotions",,,1,,7419,34545,,
7420,"Black Duck, Inc.",,,1,,7420,140730,,
7421,"Blink Marketing",,,1,,7421,141424,,
7422,"Blue Dog Merch",,,1,,7422,26555,,
7423,"BlueFish Promotional Marketing",,,1,,7423,34495,,
7424,"BLUE GRASS ADV SPEC",,,1,,7424,141760,,
7425,"Blue Rose Promotions",,,1,,7425,141910,,
7426,"Blue Soda Promo ",,,1,,7426,288473,,
7427,"BMP Partners, Inc.",,,1,,7427,129449,,
7428,"BND Corp",,,1,,7428,129474,,
7429,"BOB LILLY PROFESSIONAL PROMOTIONS ",,,1,,7429,254138,,
7430,"Bonus Marketing Inc",,,1,,7430,142835,,
7431,"Booker Promotions",,,1,,7431,142800,,
7432,"Boosters, Inc. ",,,1,,7432,143000,,
7433,"Boost Promotional Branding",,,1,,7433,282470,,
7434,"BOSS PROMO & PRINT ",,,1,,7434,32801,,
7435,"BOUNDLESS NETWORK ",,,1,,7435,143717,,
7436,"Bradley Company",,,1,,7436,144641,,
7437,Brainstorm,,,1,,7437,24460,,
7438,"Brainstorm Creative Group",,,1,,7438,144857,,
7439,"Brand Addition",,,1,,7439,202515,,
7440,"Brand Alliance, Inc.",,,1,,7440,145177,,
7441,"Brand Blvd Inc.",,,1,,7441,145124,,
7442,"Brandeditems ",,,1,,7442,190888,,
7443,"Brand Fuel Promotions",,,1,,7443,145025,,
7444,"Brand Inc. ",,,1,,7444,145212,,
7445,"BRAND IQ",,,1,,7445,145039,,
7446,"Brandit! Corporation",,,1,,7446,145139,,
7447,"Brand Makers",,,1,,7447,14517,,
7448,"BRANDVIA ALLIANCE INC",,,1,,7448,145037,,
7449,"Brattain Merchandise",,,1,,7449,27369,,
7450,"Bright Ideas",,,1,,7450,146026,,
7451,"Bright Ideas in Broad Ripple",,,1,,7451,146060,,
7452,"Broadway Marketing",,,1,,7452,146280,,
7453,"BROWN & BIGELOW",,,1,,7453,148500,,
7454,"Brown & Saenger",,,1,,7454,148195,,
7455,"Brucelli Advertising ",,,1,,7455,148960,,
7456,Bry-Lex,,,1,,7456,149189,,
7457,B-Squared,,,1,,7457,25401,,
7458,"Buffalo Specialties ",,,1,,7458,149870,,
7459,"Bulldog Office Products",,,1,,7459,149896,,
7460,"Bulletin Brands Inc",,,1,,7460,31830,,
7461,"BULLPEN MARKETING ",,,1,,7461,150076,,
7462,"BULTER BUSINESS PRODUCTS ",,,1,,7462,153951,,
7463,"BULTLER BUSINESS PRODUCTS ",,,1,,7463,153951,,
7464,"Business Branders",,,1,,7464,152061,,
7465,"Business Innovations",,,1,,7465,152930,,
7466,"BUTLER BUSINESS PRODUCTS ",,,1,,7466,153951,,
7467,"Callard Company, The",,,1,,7467,155966,,
