Id,Name,"Parent Id","Group Name","Owner Id","Tax code","Account Id",account_number,"Payment term Label","Internal rating Id"
3177,"1st Coast Printing",,,1,,2848,37821,,
3178,"1st Impressions Screen",,,1,,2849,194554,,
3179,"2020 Brand Solutions",,,1,,2850,170720,,
3180,"2 Oceans Promotions",,,1,,2851,347908,,
3181,"3 Point Brand Management",,,1,,2852,344477,,
3182,"413 Strengthgear ",,,1,,2853,196961,,
3183,"4 All Promos / K-Read",,,1,,2854,196920,,
3184,"4 DESIGN",,,1,,2855,100033,,
3185,4Imprint.com,,,1,,2856,282150,,
3186,"5 Star Promo",,,1,,2857,194729,,
3187,"A2Z Promo Zone",,,1,,2858,37322,,
3188,"Abante Marketing",,,1,,2859,101847,,
3189,"Abbott Communications Group",,,1,,2860,524702,,
3190,"Absolutely Postively Promos",,,1,,2861,102545,,
3191,"Accolades, Inc.",,,1,,2862,102910,,
3192,"Achievement Gallery",,,1,,2863,18844,,
3193,"Action Bag Company",,,1,,2864,104636,,
3194,"Ad Cafe",,,1,,2865,114433,,
3195,"Adcentives West ",,,1,,2866,105710,,
3196,"Adcentives West",,,1,,2867,105710,,
3197,"Added Incentives",,,1,,2868,106725,,
3198,"Added Incentives Inc.",,,1,,2869,32876,,
3199,"Adform Advertising",,,1,,2870,104977,,
3200,"AD Mechanics LLC.",,,1,,2871,37415,,
3201,"Ad Options, Inc.",,,1,,2872,105213,,
3202,"AD-SPECIALTIES & MORE, LTD.",,,1,,2873,113357,,
3203,"Adstar, Inc. ",,,1,,2874,108390,,
3204,"Ad-Star Sales, Inc.",,,1,,2875,108397,,
3205,"AdStuff Promotional Products",,,1,,2876,34129,,
3206,"Ad Ventures Promotional Products",,,1,,2877,105312,,
3207,"ADVERTISING ANYTHING ",,,1,,2878,109959,,
3208,"Advertising Experts",,,1,,2879,24156,,
3209,"Advertising Ideas  ",,,1,,2880,111325,,
3210,"Advertising Plus",,,1,,2881,111774,,
3211,"Advertising Premium & Incentive API",,,1,,2882,147450,,
3212,"Advertising Promotional Spec.",,,1,,2883,112150,,
3213,"Advertising Specialty Services",,,1,,2884,114343,,
3214,"Advg. Specs. Of Maine, The",,,1,,2885,112775,,
3215,"Adwood Company",,,1,,2886,114863,,
3216,"AIA CORPORATION DBA/MY CORPORATE EXPRESSIONS ",,,1,,2887,109480,,
3217,"Albrecht & Co. ",,,1,,2888,116308,,
3218,"Albrecht & Co.",,,1,,2889,116308,,
3219,"Alison Group, The",,,1,,2890,116995,,
3220,"Allegra Marketing",,,1,,2891,372045,,
3221,"Allegra Marketing, Print & Web",,,1,,2892,372010,,
3222,"Allen & Goel Marketing Co.",,,1,,2893,29573,,
3223,"Alliance Graphics",,,1,,2894,117905,,
3224,"Alliance Packaging Group Inc.",,,1,,2895,33772,,
3225,"All Purpose Advertising ",,,1,,2896,117104,,
3226,"ALL SEASONS PROMOTIONS ",,,1,,2897,117108,,
3227,"All Seasons Sport About",,,1,,2898,30650,,
3228,"Allsorts Promotional Products ",,,1,,2899,25961,,
3229,"All Types Advertising",,,1,,2900,118980,,
3230,"All-Ways Advertising Company",,,1,,2901,117230,,
3231,"AL-Lynn Sales",,,1,,2902,35330,,
3232,"Alpek International",,,1,,2903,28399,,
3233,"Amazing U Promotions",,,1,,2904,35661,,
3234,"Ambassador Awards &",,,1,,2905,119404,,
3235,"American Ad Specialties",,,1,,2906,119632,,
3236,"AMERICAN MARKETING PROMOTIONS",,,1,,2907,36799,,
3237,"American Solutions for Bus",,,1,,2908,120075,,
3238,Amplifii,,,1,,2909,338337,,
3239,"Amsterdam Printing",,,1,,2910,121500,,
3240,"Andrew's Business Services ",,,1,,2911,122091,,
3241,"Andrie, George & Associates",,,1,,2912,122110,,
3242,"Angela Conrad, Inc.",,,1,,2913,122160,,
3243,"Anita’s Marketing Concepts, Inc.",,,1,,2914,122215,,
3244,"Anypromo Corp",,,1,,2915,117065,,
3245,"Anything Imprints",,,1,,2916,122651,,
3246,"AP Branded Solutions",,,1,,2917,125341,,
3247,"Apex Advertising",,,1,,2918,122736,,
3248,"Apex Advertising Inc.",,,1,,2919,122737,,
3249,"A Plus Marketing",,,1,,2920,25664,,
3250,"ARC PROMOTIONAL DESIGN ",,,1,,2921,21968,,
3251,"Artco Promotional Products",,,1,,2922,124970,,
3252,"ArtCo Promotional Products",,,1,,2923,124970,,
3253,"Artcraft Ad Specialties Co.",,,1,,2924,124976,,
3254,"Art F/X Screenprinting & Embroidery",,,1,,2925,124987,,
3255,"Artina Promotional Products",,,1,,2926,125290,,
3256,"Artistic Imprints College Lane",,,1,,2927,125346,,
3257,"Artist Touch",,,1,,2928,125303,,
3258,Ascentives,,,1,,2929,233950,,
3259,"Association Services, Inc.",,,1,,2930,33395,,
3260,"Ataly Graphics",,,1,,2931,126446,,
3261,"A Turtle Loves Me ",,,1,,2932,29446,,
3262,"AUS-TEX PRINTING & MAILING ",,,1,,2933,18448,,
3263,"AUSTIN SPECIALTY ADVERTISING",,,1,,2934,127592,,
3264,"AUTHENTIC PROMOTIONS.COM",,,1,,2935,127621,,
3265,"Awards By Walsh's",,,1,,2936,18254,,
3266,"Awesome Advertising",,,1,,2937,31145,,
3267,"Axis Promotions & Events",,,1,,2938,128263,,
3268,"Bagley Idea Pros",,,1,,2939,129900,,
3269,"Balady Promotions, INC.",,,1,,2940,130801,,
3270,"Bamko Inc. ",,,1,,2941,131431,,
